ZCTA,COUNTY,STATE,COUNTYFP
74830,Seminole County,OK,40133
76259,Denton County,TX,48121
76261,Montague County,TX,48337
74832,Lincoln County,OK,40081
74833,Okfuskee County,OK,40107
92660,Orange County,CA,06059
93432,San Luis Obispo County,CA,06079
93434,Santa Barbara County,CA,06083
76857,Brown County,TX,48049
76859,Menard County,TX,48327
93440,Santa Barbara County,CA,06083
76864,Mills County,TX,48333
76870,Mills County,TX,48333
93444,San Luis Obispo County,CA,06079
76872,McCulloch County,TX,48307
76873,Coleman County,TX,48083
93446,San Luis Obispo County,CA,06079
76878,Coleman County,TX,48083
93449,San Luis Obispo County,CA,06079
76882,Coleman County,TX,48083
93451,Monterey County,CA,06053
76905,Tom Green County,TX,48451
76935,Schleicher County,TX,48413
76936,Schleicher County,TX,48413
76939,Tom Green County,TX,48451
93516,Kern County,CA,06029
76951,Sterling County,TX,48431
77002,Harris County,TX,48201
77012,Harris County,TX,48201
77014,Harris County,TX,48201
77024,Harris County,TX,48201
81148,Conejos County,CO,08021
71235,Lincoln Parish,LA,22061
92154,San Diego County,CA,06073
85938,Apache County,AZ,04001
88430,Quay County,NM,35037
92173,San Diego County,CA,06073
72756,Benton County,AR,05007
85939,Navajo County,AZ,04017
88434,Quay County,NM,35037
92201,Riverside County,CA,06065
75801,Anderson County,TX,48001
71243,Franklin Parish,LA,22041
88435,Guadalupe County,NM,35019
85941,Gila County,AZ,04007
81152,Costilla County,CO,08023
74073,Osage County,OK,40113
75831,Leon County,TX,48289
75833,Leon County,TX,48289
81210,Gunnison County,CO,08051
72774,Washington County,AR,05143
74080,Rogers County,OK,40131
71414,Natchitoches Parish,LA,22069
74401,Muskogee County,OK,40101
81525,Mesa County,CO,08077
81526,Mesa County,CO,08077
76012,Tarrant County,TX,48439
86053,Coconino County,AZ,04005
76014,Tarrant County,TX,48439
71419,Sabine Parish,LA,22085
81610,Moffat County,CO,08081
86301,Yavapai County,AZ,04025
92307,San Bernardino County,CA,06071
76016,Tarrant County,TX,48439
81611,Pitkin County,CO,08097
81612,Pitkin County,CO,08097
92661,,,
92662,Orange County,CA,06059
74840,Seminole County,OK,40133
74842,Pontotoc County,OK,40123
92675,Orange County,CA,06059
76310,Archer County,TX,48009
74871,Pontotoc County,OK,40123
92708,Orange County,CA,06059
76371,Knox County,TX,48275
74932,Le Flore County,OK,40079
76265,Montague County,TX,48337
76305,Clay County,TX,48077
74856,Johnston County,OK,40069
76266,Denton County,TX,48121
74855,Lincoln County,OK,40081
92688,Orange County,CA,06059
92804,Orange County,CA,06059
76263,Cooke County,TX,48097
76264,Grayson County,TX,48181
93562,San Bernardino County,CA,06071
93602,Fresno County,CA,06019
93603,Tulare County,CA,06107
93604,Madera County,CA,06039
77019,Harris County,TX,48201
76930,Irion County,TX,48235
93463,Santa Barbara County,CA,06083
93514,Mono County,CA,06051
93561,Kern County,CA,06029
93455,Santa Barbara County,CA,06083
76904,Tom Green County,TX,48451
93458,Santa Barbara County,CA,06083
76932,Reagan County,TX,48383
76933,Coke County,TX,48081
93501,Kern County,CA,06029
76937,Tom Green County,TX,48451
93505,Kern County,CA,06029
76940,Tom Green County,TX,48451
93510,Los Angeles County,CA,06037
75844,Houston County,TX,48225
74084,Osage County,OK,40113
86017,Coconino County,AZ,04005
86018,Coconino County,AZ,04005
71269,Richland Parish,LA,22083
75855,Leon County,TX,48289
75838,Freestone County,TX,48161
81155,Saguache County,CO,08109
72762,Washington County,AR,05143
81212,Fremont County,CO,08043
75846,Leon County,TX,48289
81225,Gunnison County,CO,08051
74106,Tulsa County,OK,40143
92203,Riverside County,CA,06065
85942,Navajo County,AZ,04017
74071,Creek County,OK,40037
71250,Morehouse Parish,LA,22067
92210,Riverside County,CA,06065
72761,Benton County,AR,05007
74072,Nowata County,OK,40105
81154,Rio Grande County,CO,08105
75803,Anderson County,TX,48001
71251,Jackson Parish,LA,22049
71261,Morehouse Parish,LA,22067
71426,Sabine Parish,LA,22085
71427,Rapides Parish,LA,22079
74421,Okmulgee County,OK,40111
74422,Muskogee County,OK,40101
76017,Tarrant County,TX,48439
71429,Sabine Parish,LA,22085
74423,Muskogee County,OK,40101
76018,Tarrant County,TX,48439
71432,Grant Parish,LA,22043
71433,Rapides Parish,LA,22079
76020,Parker County,TX,48367
81623,Pitkin County,CO,08097
92311,San Bernardino County,CA,06071
86315,Yavapai County,AZ,04025
74428,McIntosh County,OK,40091
76031,Johnson County,TX,48251
81633,Moffat County,CO,08081
92325,San Bernardino County,CA,06071
86326,Yavapai County,AZ,04025
76044,Johnson County,TX,48251
74834,Lincoln County,OK,40081
74837,Seminole County,OK,40133
92663,Orange County,CA,06059
74839,Hughes County,OK,40063
74843,Pontotoc County,OK,40123
74844,Pontotoc County,OK,40123
74845,McIntosh County,OK,40091
76270,Montague County,TX,48337
76272,Cooke County,TX,48097
92676,Orange County,CA,06059
76273,Grayson County,TX,48181
92677,Orange County,CA,06059
93512,Mono County,CA,06051
93513,Inyo County,CA,06027
93518,Kern County,CA,06029
93519,Kern County,CA,06029
93523,Kern County,CA,06029
93524,Kern County,CA,06029
76950,Sutton County,TX,48435
93529,Mono County,CA,06051
93531,Kern County,CA,06029
76957,Tom Green County,TX,48451
76958,Tom Green County,TX,48451
93534,Los Angeles County,CA,06037
77004,Harris County,TX,48201
77007,Harris County,TX,48201
77010,Harris County,TX,48201
93544,Los Angeles County,CA,06037
93545,Inyo County,CA,06027
93550,Los Angeles County,CA,06037
71253,West Carroll Parish,LA,22123
71256,Union Parish,LA,22111
